,DFCAd,Participant,Frequence,TypeDistractor,Distance
0,-1.44875452345,AN,F2,Td,11.25
1,-1.33271380217,AN,F2,Td,11.25
2,0.438943008424,AN,F2,Td,11.25
3,-1.55569494274,AN,F2,Td,11.25
4,-1.30313507342,AN,F2,Td,11.25
5,0.604820012937,AN,F2,Td,11.25
6,-0.488693884173,AN,F2,Td,11.25
7,-1.22577604377,AN,F2,Td,11.25
8,-0.877680187802,AN,F2,Td,11.25
9,-0.459125466023,AN,F2,Td,11.25
10,-0.848105423438,AN,F2,Td,11.25
11,-1.00963343535,AN,F2,Td,11.25
12,-1.24625332202,AN,F2,Td,11.25
13,-0.450027609949,AN,F2,Td,11.25
14,-0.816256110197,AN,F2,Td,11.25
15,-0.909530348518,AN,F2,Td,11.25
16,-0.0543320106469,AN,F2,Td,11.25
17,0.7820180156,AN,F2,Td,11.25
18,-0.64109378453,AN,F2,Td,11.25
19,-0.0702482531331,AN,F2,Td,11.25
20,-1.06873286755,AN,F2,Td,11.25
21,-0.34536932697,AN,F2,Td,11.25
22,-1.49420345278,AN,F2,Td,11.25
23,-0.543240115185,AN,F2,Td,11.25
24,-0.527318466441,AN,F2,Td,11.25
25,-1.17111508488,AN,F2,Td,11.25
26,-1.17566547658,AN,F2,Td,11.25
27,-1.56701391049,AN,F2,Td,11.25
28,-1.24392198823,AN,F2,Td,11.25
29,-0.857154784634,AN,F2,Td,11.25
30,-0.336272512843,AN,F2,Td,11.25
31,-0.734312134852,AN,F2,Td,11.25
32,-0.249856064378,AN,F2,Td,11.25
33,-0.98000442154,AN,F2,Td,11.25
34,-0.434066555225,AN,F2,Td,11.25
35,-1.4987540972,AN,F2,Td,11.25
36,-1.03460620766,AN,F2,Td,11.25
37,-1.56928924112,AN,F2,Td,11.25
38,-0.681992664444,AN,F2,Td,11.25
39,-0.827580872894,AN,F2,Td,11.25
40,-1.59204255455,AN,F2,Td,11.25
41,-0.684267392229,AN,F2,Td,11.25
42,-1.79863329181,AN,F2,Td,22.5
43,-1.35291178925,AN,F2,Td,22.5
44,-1.53027120267,AN,F2,Td,22.5
45,-1.29152492189,AN,F2,Td,22.5
46,-0.88238083066,AN,F2,Td,22.5
47,-1.102841009,AN,F2,Td,22.5
48,-1.14148405473,AN,F2,Td,22.5
49,-1.13693772989,AN,F2,Td,22.5
50,0.375396924631,AN,F2,Td,22.5
51,-2.22173906731,AN,F2,Td,22.5
52,-2.53570725717,AN,F2,Td,22.5
53,-2.84297422091,AN,F2,Td,22.5
54,-0.671132699492,AN,F2,Td,22.5
55,-2.29919009845,AN,F2,Td,22.5
56,-2.83614822814,AN,F2,Td,22.5
57,-1.28478696057,AN,F2,Td,22.5
58,-1.65089048388,AN,F2,Td,22.5
59,-1.34617490133,AN,F2,Td,22.5
60,-1.33480649352,AN,F2,Td,22.5
61,-1.29388124199,AN,F2,Td,22.5
62,-2.46527650451,AN,F2,Td,22.5
63,-1.53490748409,AN,F2,Td,22.5
64,-2.20363781032,AN,F2,Td,22.5
65,0.12130013637,AN,F2,Td,22.5
66,-1.66226192563,AN,F2,Td,22.5
67,-1.70547427455,AN,F2,Td,22.5
68,-0.616608156046,AN,F2,Td,22.5
69,-0.245641403557,AN,F2,Td,33.75
70,-1.02040207881,AN,F2,Td,33.75
71,-2.15752898303,AN,F2,Td,33.75
72,-2.43701103997,AN,F2,Td,33.75
73,-1.09749776804,AN,F2,Td,33.75
74,-0.388254106998,AN,F2,Td,33.75
75,-3.76731862068,AN,F2,Td,33.75
76,0.00323975395932,AN,F2,Td,33.75
77,-0.766528406067,AN,F2,Td,33.75
78,-4.05398740944,AN,F2,Td,33.75
79,0.299415872322,AN,F2,Td,33.75
80,-1.51719281555,AN,F2,Td,33.75
81,-0.462976077206,AN,F2,Td,33.75
82,-3.34420458392,AN,F2,Td,33.75
83,-2.51428345016,AN,F2,Td,33.75
84,0.613402675483,AN,F2,Td,33.75
85,-1.26987243062,AN,F2,Td,33.75
86,-2.08483530501,AN,F2,Td,33.75
87,-1.77597382395,AN,F2,Td,33.75
88,-2.49155553892,AN,F2,Td,33.75
89,-1.2140612029,AN,F2,Td,33.75
90,0.400926367523,AN,F2,Td,33.75
91,-1.97240191001,AN,F2,Td,33.75
92,-0.207647580878,AN,F2,Td,33.75
93,-1.03710614943,AN,F2,Td,33.75
94,0.312756080208,AN,F2,Td,33.75
95,-0.665249656368,AN,F2,Td,33.75
96,-1.73617450986,AN,F2,Td,33.75
97,-0.649384200168,AN,F2,Td,33.75
98,-0.293693664395,AN,F2,Td,33.75
99,-1.45009032463,AN,F2,Td,33.75
100,-0.638052067981,AN,F2,Td,33.75
101,-2.11553908312,AN,F2,Td,33.75
102,-1.4682504259,AN,F2,Td,33.75
103,-3.15908024977,AN,F2,Td,33.75
104,-0.771788922369,AN,F2,Td,33.75
105,-1.00761947741,AN,F2,Td,33.75
106,-4.73857455107,AN,F2,Td,45.0
107,-1.44014305023,AN,F2,Td,45.0
108,1.14727315287,AN,F2,Td,45.0
109,-0.236045768308,AN,F2,Td,45.0
110,-2.5821986562,AN,F2,Td,45.0
111,1.17643374093,AN,F2,Td,45.0
112,0.0749690435861,AN,F2,Td,45.0
113,0.42614137867,AN,F2,Td,45.0
114,0.196579080674,AN,F2,Td,45.0
115,-3.39724104679,AN,F2,Td,45.0
116,-2.51187289498,AN,F2,Td,45.0
117,-1.70952530025,AN,F2,Td,45.0
118,-2.39166071469,AN,F2,Td,45.0
119,-0.573494101083,AN,F2,Td,45.0
120,-0.320716879761,AN,F2,Td,45.0
121,-4.81544211819,AN,F2,Td,45.0
122,-1.16782468741,AN,F2,Td,45.0
123,-4.0762719731,AN,F2,Td,45.0
124,-5.15215075319,AN,F2,Td,45.0
125,-2.20276419567,AN,F2,Td,45.0
126,-3.34442575959,AN,F2,Td,45.0
127,-2.31160767657,AN,F2,Td,45.0
128,-0.643494359486,AN,F2,Td,45.0
129,-0.444823389403,AN,F2,Td,45.0
130,-1.19949003436,AN,F2,Td,45.0
131,-0.133523343861,AN,F2,Td,45.0
132,0.865765727278,AN,F2,Td,45.0
133,-3.44666351135,AN,F2,Td,45.0
134,-0.562205141485,AN,F2,Td,45.0
135,0.701695085768,AN,F2,Td,56.25
136,-5.93893529407,AN,F2,Td,56.25
137,-1.3619831099,AN,F2,Td,56.25
138,1.25545197049,AN,F2,Td,56.25
139,0.359345109115,AN,F2,Td,56.25
140,0.0613236921837,AN,F2,Td,56.25
141,-3.05935830661,AN,F2,Td,56.25
142,-0.436958477834,AN,F2,Td,56.25
143,1.53176498292,AN,F2,Td,56.25
144,0.215984382644,AN,F2,Td,56.25
145,0.3772588408,AN,F2,Td,56.25
146,-2.17913319727,AN,F2,Td,56.25
147,0.93978322572,AN,F2,Td,56.25
148,-0.44920444532,AN,F2,Td,56.25
149,-0.314427998015,AN,F2,Td,56.25
150,-0.534599881452,AN,F2,Td,56.25
151,0.658198239664,AN,F2,Td,56.25
152,-0.386299797484,AN,F2,Td,56.25
153,-5.62833943455,AN,F2,Td,56.25
154,-5.88535443288,AN,F2,Td,56.25
155,-0.883212344466,AN,F2,Td,56.25
156,-0.233596997302,AN,F2,Td,56.25
157,-2.50122607918,AN,F2,Td,56.25
158,-2.47181959322,AN,F2,Td,56.25
159,-0.668135477267,AN,F2,Td,67.5
160,-0.0868660071246,AN,F2,Td,67.5
161,0.256664233073,AN,F2,Td,67.5
162,0.53284230751,AN,F2,Td,67.5
163,0.810845584373,AN,F2,Td,67.5
164,1.22595844389,AN,F2,Td,67.5
165,1.28581525867,AN,F2,Td,67.5
166,0.169721578999,AN,F2,Td,67.5
167,-1.04453730297,AN,F2,Td,67.5
168,1.61355440672,AN,F2,Td,67.5
169,-4.45992739219,AN,F2,Td,67.5
170,-1.79461494122,AN,F2,Td,67.5
171,0.254435408632,AN,F2,Td,67.5
172,-0.395190484658,AN,F2,Td,67.5
173,-0.899585071709,AN,F2,Td,67.5
174,-0.944368954475,AN,F2,Td,67.5
175,0.726284642167,AN,F2,Td,67.5
176,-0.246782915023,AN,F2,Td,67.5
177,-0.492468087538,AN,F2,Td,67.5
178,0.188025448502,AN,F2,Td,67.5
179,-0.266873553973,AN,F2,Td,67.5
180,0.564079280544,AN,F2,Td,67.5
181,1.12119272125,AN,F2,Td,67.5
182,-5.43137676842,AN,F2,Td,67.5
183,1.09459722806,AN,F2,Td,67.5
184,1.31924431459,AN,F2,Td,78.75
185,1.35671370084,AN,F2,Td,78.75
186,1.31263115596,AN,F2,Td,78.75
187,-0.573739085351,AN,F2,Td,78.75
188,-1.26116956463,AN,F2,Td,78.75
189,-1.99790231347,AN,F2,Td,78.75
190,-1.33272064441,AN,F2,Td,78.75
191,-1.40728826508,AN,F2,Td,78.75
192,-0.277219805541,AN,F2,Td,78.75
193,-4.71472020153,AN,F2,Td,78.75
194,-0.519624469025,AN,F2,Td,78.75
195,-0.976350697954,AN,F2,Td,78.75
196,1.67194713986,AN,F2,Td,78.75
197,-0.137257923843,AN,F2,Td,78.75
198,-1.1347779319,AN,F2,Td,78.75
199,0.000377786743254,AN,F2,Td,78.75
200,0.671476389918,AN,F2,Td,78.75
201,0.7245203087,AN,F2,Td,78.75
202,-0.0506684265652,AN,F2,Td,78.75
203,-0.283887302094,AN,F2,Td,78.75
204,-0.648736451284,AN,F2,Td,78.75
205,-0.452876538236,AN,F2,Td,78.75
206,0.270900812583,AN,F2,Td,78.75
207,-0.178166950125,AN,F2,Td,90.0
208,-2.04766935795,AN,F2,Td,90.0
